unit_name,unit_entries
Khinerai Lifetakers,2
Morathi-Khaine,1
Blood Sisters,1
Khinerai Heartrenders,1
Slaughter Queen on Cauldron of Blood,1
Blood Hags,1
Sisters of Slaughter,1
