unit_name,model_count
Morathi-Khaine,2
Slaughter Queen on Cauldron of Blood,2
Sisters of Slaughter with Bladed Bucklers,2
Khinerai Lifetakers,2
Krethusa the Croneseer,1
Witch Aelves with Paired Sciansá,1
Blood Sisters,1
Khinerai Heartrenders,1
Blood Hags,1
Sisters of Slaughter,1
