unit_name,lists_with_unit,percent_of_lists
Morathi-Khaine,2,100.0
Slaughter Queen on Cauldron of Blood,2,100.0
Sisters of Slaughter with Bladed Bucklers,1,50.0
Witch Aelves with Paired Sciansá,1,50.0
Krethusa the Croneseer,1,50.0
Blood Sisters,1,50.0
Khinerai Heartrenders,1,50.0
Blood Hags,1,50.0
Khinerai Lifetakers,1,50.0
Sisters of Slaughter,1,50.0
