unit_name,unit_entries
Blood Sisters,4
Khinerai Lifetakers,4
Sisters of Slaughter,4
Slaughter Queen on Cauldron of Blood,2
High Gladiatrix,2
Morathi-Khaine,2
Blood Hags,2
SoG Bloodwrack Shrine,1
Krethusa the Croneseer,1
Witch Aelves,1
Blood Stalkers,1
Slaughter Queen,1
Khinerai Heartrenders,1
