unit_name,lists_with_unit,percent_of_lists
Blood Sisters,3,100.0
Sisters of Slaughter,3,100.0
Slaughter Queen on Cauldron of Blood,2,66.7
High Gladiatrix,2,66.7
Khinerai Lifetakers,2,66.7
Morathi-Khaine,2,66.7
Blood Hags,2,66.7
Krethusa the Croneseer,1,33.3
Witch Aelves,1,33.3
SoG Bloodwrack Shrine,1,33.3
Slaughter Queen,1,33.3
Blood Stalkers,1,33.3
Khinerai Heartrenders,1,33.3
