unit_name,model_count
Sisters of Slaughter,40
Blood Sisters,30
Khinerai Lifetakers,20
Witch Aelves,20
Blood Hags,20
Blood Stalkers,5
Khinerai Heartrenders,5
Slaughter Queen on Cauldron of Blood,2
High Gladiatrix,2
Morathi-Khaine,2
SoG Bloodwrack Shrine,1
Krethusa the Croneseer,1
Slaughter Queen,1
