unit_name,unit_size
Bloodwrack Medusa,1
Bloodwrack Shrine,1
Doomfire Warlocks,5
Hag Queen,1
Khainite Shadowstalkers,9
Melusai Ironscale,1
SoG Krethusa the Croneseer,1
