unit_name,unit_entries
Blood Sisters,3
Sisters of Slaughter,3
Khinerai Lifetakers,2
High Gladiatrix,2
SoG Bloodwrack Shrine,1
Slaughter Queen on Cauldron of Blood,1
Krethusa the Croneseer,1
Witch Aelves,1
Morathi-Khaine,1
Blood Stalkers,1
Slaughter Queen,1
Blood Hags,1
