unit_name,model_count
Blood Sisters,30
Sisters of Slaughter,30
Witch Aelves,20
Blood Hags,20
Khinerai Lifetakers,10
Blood Stalkers,5
High Gladiatrix,2
SoG Bloodwrack Shrine,1
Slaughter Queen on Cauldron of Blood,1
Krethusa the Croneseer,1
Morathi-Khaine,1
The Shadow Queen,1
Slaughter Queen,1
Shrine of Dark Tribute,1
