source,week,name,result,subfaction,manifestation_lore,unit_entries,models,units
Singles,April 13 - 19,Daughters of Khorne with a buff like lumineth but with requirements... 1930/2000 pts,4-1,Coven of Blood,Manifestations of Khaine,10,58,"[{""name"": ""Morathi-Khaine"", ""points"": 730, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Blood Sisters"", ""points"": 280, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Blood Stalkers"", ""points"": 150, ""models"": 5, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Sisters of Slaughter"", ""points"": 110, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Slaughter Queen"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Witchbrew"", ""Shadow-Blooded""]}, {""name"": ""Blood Hags"", ""points"": 280, ""models"": 20, ""regiment"": ""Regiment 1"", ""reinforced"": true, ""notes"": []}, {""name"": ""High Gladiatrix"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Sisters of Slaughter"", ""points"": 110, ""models"": 10, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}]"
Singles,April 13 - 19,Nick Swope - Look if any of y'all know a giant spellcasting and 50ft tall murder goddess and havent introduced me or set up a date for me I will be extremely disappointed.,4-1,Coven Zealots,Unknown,13,64,"[{""name"": ""SoG Bloodwrack Shrine"", ""points"": 250, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Blood Sisters"", ""points"": 280, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Blood Sisters"", ""points"": 280, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Khinerai Lifetakers"", ""points"": 100, ""models"": 5, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Khinerai Lifetakers"", ""points"": 100, ""models"": 5, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""--""]}, {""name"": ""Slaughter Queen on Cauldron of Blood"", ""points"": 280, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Hand of Khaine"", ""Witchbrew""]}, {""name"": ""High Gladiatrix"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""--""]}, {""name"": ""Krethusa the Croneseer"", ""points"": 220, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Witch Aelves"", ""points"": 240, ""models"": 20, ""regiment"": ""Regiment 2"", ""reinforced"": true, ""notes"": []}, {""name"": ""Sisters of Slaughter"", ""points"": 110, ""models"": 10, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}]"
