unit_name,lists_with_unit,percent_of_lists
Blood Sisters,2,100.0
High Gladiatrix,2,100.0
Sisters of Slaughter,2,100.0
Khinerai Lifetakers,1,50.0
Krethusa the Croneseer,1,50.0
Slaughter Queen on Cauldron of Blood,1,50.0
SoG Bloodwrack Shrine,1,50.0
Witch Aelves,1,50.0
Shrine of Dark Tribute,1,50.0
Slaughter Queen,1,50.0
The Shadow Queen,1,50.0
Blood Stalkers,1,50.0
Morathi-Khaine,1,50.0
Blood Hags,1,50.0
